Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,21:24:57,0.225
12/2/2022,21:24:58,0.195
12/2/2022,21:24:59,0.209
12/2/2022,21:25:00,0.216
12/2/2022,21:25:01,0.231
12/2/2022,21:25:02,0.206
12/2/2022,21:25:03,0.225
12/2/2022,21:25:04,0.219
12/2/2022,21:25:05,0.2
12/2/2022,21:25:06,0.204
12/2/2022,21:25:07,0.216
12/2/2022,21:25:08,0.2
12/2/2022,21:25:09,0.218
12/2/2022,21:25:10,0.229
12/2/2022,21:25:11,0.207
12/2/2022,21:25:12,0.21
12/2/2022,21:25:13,0.209
12/2/2022,21:25:14,0.221
12/2/2022,21:25:15,0.233
12/2/2022,21:25:16,0.201
12/2/2022,21:25:17,0.214
12/2/2022,21:25:18,0.24
12/2/2022,21:25:19,0.248
12/2/2022,21:25:20,0.2
12/2/2022,21:25:21,0.214
12/2/2022,21:25:22,0.206
12/2/2022,21:25:23,0.201
12/2/2022,21:25:24,0.216
12/2/2022,21:25:25,0.198
12/2/2022,21:25:26,0.186
12/2/2022,21:25:27,0.208
12/2/2022,21:25:28,0.185
12/2/2022,21:25:29,0.217
12/2/2022,21:25:30,0.189
12/2/2022,21:25:31,0.181
12/2/2022,21:25:32,0.216
12/2/2022,21:25:33,0.196
12/2/2022,21:25:34,0.227
12/2/2022,21:25:35,0.187
12/2/2022,21:25:36,0.217
12/2/2022,21:25:37,0.196
12/2/2022,21:25:38,0.253
12/2/2022,21:25:39,0.207
12/2/2022,21:25:40,0.198
12/2/2022,21:25:41,0.233
12/2/2022,21:25:42,0.195
12/2/2022,21:25:43,0.205
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,22:24:44,0.157
12/2/2022,22:24:45,0.156
12/2/2022,22:24:46,0.174
12/2/2022,22:24:47,0.157
12/2/2022,22:24:48,0.142
12/2/2022,22:24:49,0.154
12/2/2022,22:24:50,0.169
12/2/2022,22:24:51,0.171
12/2/2022,22:24:52,0.172
12/2/2022,22:24:53,0.149
