TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,07/21/2020
Start Time:,11:34:49
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.061
,Minimum:,0.023
,Time of Minimum:,11:35:07
,Date of Minimum:,07/21/2020
,Maximum:,0.081
,Time of Maximum:,11:35:21
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
07/21/2020,15:35:21,0.057
07/21/2020,15:35:22,0.071
07/21/2020,15:35:23,0.064
07/21/2020,15:35:24,0.064
07/21/2020,15:35:25,0.067
07/21/2020,15:35:26,0.058
07/21/2020,15:35:27,0.064
07/21/2020,15:35:28,0.073
07/21/2020,15:35:29,0.06
07/21/2020,15:35:30,0.053
07/21/2020,15:35:31,0.059
07/21/2020,15:35:32,0.06
07/21/2020,15:35:33,0.046
07/21/2020,15:35:34,0.049
07/21/2020,15:35:35,0.063
07/21/2020,15:35:36,0.056
07/21/2020,15:35:37,0.048
07/21/2020,15:35:38,0.053
07/21/2020,15:35:39,0.057
07/21/2020,15:35:40,0.06
07/21/2020,15:35:41,0.066
07/21/2020,15:35:42,0.066
07/21/2020,15:35:43,0.065
07/21/2020,15:35:44,0.061
07/21/2020,15:35:45,0.056
07/21/2020,15:35:46,0.058
07/21/2020,15:35:47,0.071
07/21/2020,15:35:48,0.058
07/21/2020,15:35:49,0.094

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 6
Start Date:,07/21/2020
Start Time:,04:34:50
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.057
,Minimum:,0.04
,Time of Minimum:,04:35:36
,Date of Minimum:,07/21/2020
,Maximum:,0.146
,Time of Maximum:,04:35:03
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,16:34:51,0.046
07/21/2020,16:34:52,0.057
07/21/2020,16:34:53,0.05
07/21/2020,16:34:54,0.044
07/21/2020,16:34:55,0.055
07/21/2020,16:34:56,0.052
07/21/2020,16:34:57,0.059
07/21/2020,16:34:58,0.059
07/21/2020,16:34:59,0.059
07/21/2020,16:35:00,0.057
07/21/2020,16:35:01,0.066
07/21/2020,16:35:02,0.057
07/21/2020,16:35:03,0.146
07/21/2020,16:35:04,0.066
07/21/2020,16:35:05,0.056
07/21/2020,16:35:06,0.058
07/21/2020,16:35:07,0.05
07/21/2020,16:35:08,0.05
07/21/2020,16:35:09,0.041
07/21/2020,16:35:10,0.046
07/21/2020,16:35:11,0.049
07/21/2020,16:35:12,0.062
07/21/2020,16:35:13,0.049
07/21/2020,16:35:14,0.045
07/21/2020,16:35:15,0.066
07/21/2020,16:35:16,0.053
07/21/2020,16:35:17,0.049
07/21/2020,16:35:18,0.058
07/21/2020,16:35:19,0.055
07/21/2020,16:35:20,0.063
07/21/2020,16:35:21,0.054
07/21/2020,16:35:22,0.061
07/21/2020,16:35:23,0.058
07/21/2020,16:35:24,0.054
07/21/2020,16:35:25,0.074
07/21/2020,16:35:26,0.055
07/21/2020,16:35:27,0.05
07/21/2020,16:35:28,0.046
07/21/2020,16:35:29,0.068
07/21/2020,16:35:30,0.053
07/21/2020,16:35:31,0.05
07/21/2020,16:35:32,0.043
07/21/2020,16:35:33,0.062
07/21/2020,16:35:34,0.05
07/21/2020,16:35:35,0.049
07/21/2020,16:35:36,0.04
07/21/2020,16:35:37,0.059
07/21/2020,16:35:38,0.057
07/21/2020,16:35:39,0.052
07/21/2020,16:35:40,0.05
07/21/2020,16:35:41,0.072
07/21/2020,16:35:42,0.056
07/21/2020,16:35:43,0.049
07/21/2020,16:35:44,0.066
07/21/2020,16:35:45,0.072
07/21/2020,16:35:46,0.057
07/21/2020,16:35:47,0.05
07/21/2020,16:35:48,0.064
07/21/2020,16:35:49,0.057
07/21/2020,16:35:50,0.061

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 7
Start Date:,07/21/2020
Start Time:,05:34:50
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.054
,Minimum:,0.039
,Time of Minimum:,05:35:17
,Date of Minimum:,07/21/2020
,Maximum:,0.087
,Time of Maximum:,05:35:40
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,17:34:51,0.052
07/21/2020,17:34:52,0.065
07/21/2020,17:34:53,0.053
07/21/2020,17:34:54,0.061
07/21/2020,17:34:55,0.048
07/21/2020,17:34:56,0.069
07/21/2020,17:34:57,0.044
07/21/2020,17:34:58,0.043
07/21/2020,17:34:59,0.059
07/21/2020,17:35:00,0.045
07/21/2020,17:35:01,0.041
07/21/2020,17:35:02,0.06
07/21/2020,17:35:03,0.049
07/21/2020,17:35:04,0.05
07/21/2020,17:35:05,0.048
07/21/2020,17:35:06,0.053
07/21/2020,17:35:07,0.049
07/21/2020,17:35:08,0.049
07/21/2020,17:35:09,0.059
07/21/2020,17:35:10,0.052
07/21/2020,17:35:11,0.046
07/21/2020,17:35:12,0.079
07/21/2020,17:35:13,0.056
07/21/2020,17:35:14,0.048
07/21/2020,17:35:15,0.05
07/21/2020,17:35:16,0.047
07/21/2020,17:35:17,0.039
07/21/2020,17:35:18,0.052
07/21/2020,17:35:19,0.049
07/21/2020,17:35:20,0.055
07/21/2020,17:35:21,0.059
07/21/2020,17:35:22,0.052
07/21/2020,17:35:23,0.058
07/21/2020,17:35:24,0.051
07/21/2020,17:35:25,0.048
07/21/2020,17:35:26,0.045
07/21/2020,17:35:27,0.053
07/21/2020,17:35:28,0.046
07/21/2020,17:35:29,0.047
07/21/2020,17:35:30,0.044
07/21/2020,17:35:31,0.06
07/21/2020,17:35:32,0.047
07/21/2020,17:35:33,0.062
07/21/2020,17:35:34,0.057
07/21/2020,17:35:35,0.058
07/21/2020,17:35:36,0.054
07/21/2020,17:35:37,0.059
07/21/2020,17:35:38,0.067
07/21/2020,17:35:39,0.054
07/21/2020,17:35:40,0.087
07/21/2020,17:35:41,0.053
07/21/2020,17:35:42,0.053
07/21/2020,17:35:43,0.054
07/21/2020,17:35:44,0.062
07/21/2020,17:35:45,0.046
07/21/2020,17:35:46,0.075
07/21/2020,17:35:47,0.053
07/21/2020,17:35:48,0.07
07/21/2020,17:35:49,0.057
07/21/2020,17:35:50,0.061

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 8
Start Date:,07/21/2020
Start Time:,06:34:50
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.045
,Time of Minimum:,06:35:03
,Date of Minimum:,07/21/2020
,Maximum:,0.079
,Time of Maximum:,06:35:33
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,18:34:51,0.049
07/21/2020,18:34:52,0.049
07/21/2020,18:34:53,0.065
07/21/2020,18:34:54,0.048
07/21/2020,18:34:55,0.057
07/21/2020,18:34:56,0.056
07/21/2020,18:34:57,0.05
07/21/2020,18:34:58,0.053
07/21/2020,18:34:59,0.048
07/21/2020,18:35:00,0.053
07/21/2020,18:35:01,0.054
07/21/2020,18:35:02,0.057
07/21/2020,18:35:03,0.045
07/21/2020,18:35:04,0.048
07/21/2020,18:35:05,0.057
07/21/2020,18:35:06,0.065
07/21/2020,18:35:07,0.057
07/21/2020,18:35:08,0.059
