TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,02/26/2021
Start Time:,11:50:53
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.048
,Minimum:,0.027
,Time of Minimum:,11:51:18
,Date of Minimum:,02/26/2021
,Maximum:,0.075
,Time of Maximum:,11:51:09
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
02/26/2021,15:51:24,0.065
02/26/2021,15:51:25,0.059
02/26/2021,15:51:26,0.075
02/26/2021,15:51:27,0.064
02/26/2021,15:51:28,0.06
02/26/2021,15:51:29,0.061
02/26/2021,15:51:30,0.066
02/26/2021,15:51:31,0.069
02/26/2021,15:51:32,0.072
02/26/2021,15:51:33,0.082
02/26/2021,15:51:34,0.09
02/26/2021,15:51:35,0.06
02/26/2021,15:51:36,0.073
02/26/2021,15:51:37,0.072
02/26/2021,15:51:38,0.084
02/26/2021,15:51:39,0.078
02/26/2021,15:51:40,0.084
02/26/2021,15:51:41,0.064
02/26/2021,15:51:42,0.076
02/26/2021,15:51:43,0.074
02/26/2021,15:51:44,0.073
02/26/2021,15:51:45,0.07
02/26/2021,15:51:46,0.072
02/26/2021,15:51:47,0.081
02/26/2021,15:51:48,0.083
02/26/2021,15:51:49,0.077
02/26/2021,15:51:50,0.076
02/26/2021,15:51:51,0.079
02/26/2021,15:51:52,0.082
02/26/2021,15:51:53,0.07
02/26/2021,15:51:54,0.074

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 6
Start Date:,02/26/2021
Start Time:,04:50:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.191
,Minimum:,0.08
,Time of Minimum:,04:50:56
,Date of Minimum:,02/26/2021
,Maximum:,0.319
,Time of Maximum:,04:51:44
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,16:50:55,0.084
02/26/2021,16:50:56,0.08
02/26/2021,16:50:57,0.095
02/26/2021,16:50:58,0.097
02/26/2021,16:50:59,0.088
02/26/2021,16:51:00,0.093
02/26/2021,16:51:01,0.092
02/26/2021,16:51:02,0.106
02/26/2021,16:51:03,0.102
02/26/2021,16:51:04,0.098
02/26/2021,16:51:05,0.106
02/26/2021,16:51:06,0.134
02/26/2021,16:51:07,0.124
02/26/2021,16:51:08,0.106
02/26/2021,16:51:09,0.182
02/26/2021,16:51:10,0.136
02/26/2021,16:51:11,0.145
02/26/2021,16:51:12,0.118
02/26/2021,16:51:13,0.11
02/26/2021,16:51:14,0.128
02/26/2021,16:51:15,0.12
02/26/2021,16:51:16,0.129
02/26/2021,16:51:17,0.107
02/26/2021,16:51:18,0.096
02/26/2021,16:51:19,0.133
02/26/2021,16:51:20,0.134
02/26/2021,16:51:21,0.131
02/26/2021,16:51:22,0.176
02/26/2021,16:51:23,0.14
02/26/2021,16:51:24,0.106
02/26/2021,16:51:25,0.219
02/26/2021,16:51:26,0.279
02/26/2021,16:51:27,0.294
02/26/2021,16:51:28,0.299
02/26/2021,16:51:29,0.273
02/26/2021,16:51:30,0.313
02/26/2021,16:51:31,0.259
02/26/2021,16:51:32,0.244
